"Monday, January 1, 2024",Keep Live Music Alive In Stoke On Trent And Surrounding Areas,,,https://www.facebook.com/groups/111164642295828,,
2/1/2024,You Can Add Your Own Gigs By Clicking Gig List Form Below,,,,,
Date,Artist,Venue,Start time,Description,Links,
"Saturday, October 18, 2025",Albie solo singer,The corner pin Adderley green ,8pm ,Mixed covers up beat ,,
"Saturday, October 18, 2025",Catalyst,"Waggon & Horses , Newcastle",9pm,Covers 60s - 20s,Catalyst Facebook page,
"Saturday, October 18, 2025",Circa 81,"Middlewich Royal British Legion, Middlewich",8pm,,,
"Saturday, October 18, 2025",Cover Story,The Swan Stone,10:00:00 PM,,,
"Saturday, October 18, 2025",Craig Harrison ,"The Bulldog, Anchor Terrace, Longton ",8.30pm ,"Icons and Anthems show. Oasis, Stereophonics, Killers, Kings of Leon, Sam Fender ",,
"Saturday, October 18, 2025",Cyril’s Allstars,"The Cosey Club, Haslington",,,,
"Saturday, October 18, 2025",Danny Brab,"Jolly Potters, Hartshill",5:30pm,"Indie, Britpop and US alternative scene ",,
"Saturday, October 18, 2025",Danny Brab ,"Moorlands Inn, Burslem ",8:30pm,"Indie, Britpop and US Alternative scene",,
"Saturday, October 18, 2025",Eddie Lees Back to Back ,The Ash Inn  Mow Cop,9 pm,60s and 70s Rock and Roll ,,
"Saturday, October 18, 2025",Electrifying 80s,"Swiftys, Meir",9pm,80s,https://fb.me/e/50ubWeGE9,
"Saturday, October 18, 2025",Martin McAloon - Steve McQueen 40th Anniversary,"Artisan Tap, Hartshill, Stoke-On-Trent",7:30 PM,,,
"Saturday, October 18, 2025",Notorious 80’s,"The Green Star, Smallthorne",9pm,80’s,,
"Saturday, October 18, 2025",Paul Gibson,Black Lion Trent Vale,9.30 pm,,,
"Saturday, October 18, 2025",Raw Talent ,"The Broughton, Haslington ",9pm,Classic Rock ,,
"Saturday, October 18, 2025",Rewired,The Malbank,7:12 AM,Pop/rock covers,,
"Saturday, October 18, 2025",Sac N Craic ,Black Cock Blythe Bridge ,8-30pm,Folk,,
"Saturday, October 18, 2025",Sinpusher ,"Potters bar, Meir park,s o t",9pm,Classic rock,,
"Saturday, October 18, 2025",So Oasis,The Old Post Office,£5 TICKETS,,,
"Saturday, October 18, 2025",Tanky/Electrifying 80's ,"Swiftys Bar, The Former Library, Sandon Road, Meir Stoke on Trent, ST3 7DJ",9PM,80's Pop Music ,https://www.facebook.com/share/19m923gxw2/,
"Saturday, October 18, 2025",The Fleetwood Mac Songbook ,Eleven Sandyford St6 5pd,£18.00 adv,,,
"Saturday, October 18, 2025",The VANZ ROXX,"Ashwood, Longton",9.30pm,ROCK,,
"Saturday, October 18, 2025",Under the Influence ,Old Sal saxonfields longton ,9pm,Classic rock covers ,,
"Sunday, October 19, 2025","Anti-Meta, Glass Atlas, Suicide Samurai ","The Rigger Venue, Newcastle-under-lyme ST5 1BT ",7pm,"Rock, metal ",https://facebook.com/events/s/electric-mayhem-the-rigger/821155737235377/,
"Sunday, October 19, 2025",Danny Brab (acoustic afternoon),"Terrace, Stoke",6:30pm,Various Artists,,
"Sunday, October 19, 2025",Grace,"Artisan Tap, Hartshill, Stoke-On-Trent",20:00,,,
"Sunday, October 19, 2025",Liv Tyde,Goldenhill Club,3:30pm,Mixed,,
"Sunday, October 19, 2025",Recall,Norton Central Social Club ,"3pm, free entry, all welcome",,,
"Sunday, October 19, 2025",Rob Heron & The Tea Pad Orchestra,"Artisan Tap, Hartshill, Stoke-On-Trent",13:30,,,
"Sunday, October 19, 2025",Sac N Craic ,Crown N Thistle Kidsgrove ,5pm,Folk,,
"Sunday, October 19, 2025",The Pluckers ,"Foaming Quart, Norton Green ",5pm ,Folk / Pop covers and originals ,,
"Tuesday, October 21, 2025",Jane and the Hurricanes,The Glebe Stoke,,,,
"Tuesday, October 21, 2025",Jane And The Hurricanes,"The Glebe, Stoke",9.00 pm,Electric Blues and R'n'B,,
"Thursday, October 23, 2025",Dreams Of Delvaux + Disastrous Robots,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Thursday, October 23, 2025",Good Habits,The Swan Stone,9.30PM,,,
"Thursday, October 23, 2025",Spear of Destiny ,The Rigger Venue ,7pm,Rock,https://www.facebook.com/share/1BNXn88nHX/,
"Thursday, October 23, 2025",The Hot One Two + Guests ,Eleven Sandyford St6 5pd,£12.00 adv,,,
"Friday, October 24, 2025",Eaton Park,"The Cosey Club, Haslington",,,,
"Friday, October 24, 2025",Foo Fighters GB ,Eleven Sandyford St6 5pd,£15.00 adv,,,
"Friday, October 24, 2025",Jax On Jovi,Moorland Inn,8.30pm,Bon Jovi Tribute,,
"Friday, October 24, 2025",Joey Linden as Freddie Mercury ,The Winking man ,8.30pm ,Pop rock,https://facebook.com/events/s/its-a-kinda-queen/753240244172243/,
"Friday, October 24, 2025",Mel & Dan,The Swan Stone,21:00,,,
"Friday, October 24, 2025",Motley Crude,"The Rigger, Newcastle, St5 1bt",8PM,Motley Crue Tribute,https://www.facebook.com/events/1986955431802872/,
"Friday, October 24, 2025",Rewired,"Swiftys, Meir",9pm,Rock,https://fb.me/e/6PvcAvVOd,
"Friday, October 24, 2025",Scott Lavene + crowspeak + Nick Degg,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Friday, October 24, 2025",Thunder Hammer,The Underground,£18 ADV / £22 OTD 7:30pm,,,
"Friday, October 24, 2025",VANZ Acoustic Duo - David & Andrea,Rose & Crown Biddulph Moor,8pm,Bluesy Funky Americana Rock,,
"Saturday, October 25, 2025",Arctic Stereo Killers,9pm,9pm,Indie rock,https://fb.me/e/7MuoD0bEQ,
"Saturday, October 25, 2025",C&C Duo,"The Wellington, Stoke",9pm,"Rock,  Pop & Indie",,
"Saturday, October 25, 2025",Circa 81,"The Shed, Maybank",8pm,,,
"Saturday, October 25, 2025",Classic Rockers Duo ,Woodman Hanley ,8pm,Classic rock n pop covers ,,
"Saturday, October 25, 2025",Double Lively,Moorland inn,8.30pm,Indie,,
"Saturday, October 25, 2025",Eddie Lees Back to Back ,The Dog and Rot. Leek ,9 pm,60s and 70s Rock and Roll ,,
"Saturday, October 25, 2025",Fat Lip,The Swan Stone,22:00,,,
"Saturday, October 25, 2025",Greg Murray & The Seven Wonders,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Saturday, October 25, 2025",GUITAR MONKEY ,The Congress Longton ,9:30pm,Classic Rock ,,
"Saturday, October 25, 2025",Million Dreams 'The Greatest Showman',Norton Central Social Club ,"8pm, tickets £10",The Greatest Showman ,,
"Saturday, October 25, 2025",The Barflys ,Eleven Sandyford St6 5pd,£12.00 adv,,,
"Saturday, October 25, 2025",The Del Gatos,"The Linley Tavern, Alsager",9pm,Rock,,
"Saturday, October 25, 2025","The Fiend Club Band (Misfits Tribute), Broken 3 Ways, Rocket 69","The Rigger Venue, Newcastle-under-lyme ST5 1BT ",7:30pm,"Punk, ska punk",https://www.facebook.com/share/1BR4pPN8ud/,
"Saturday, October 25, 2025",The Greatest Showman Tribute,Norton Central Social Club ,"9pm, tickets £10",,,
"Saturday, October 25, 2025",The VANZ,Nantwich Club,9.15pm,Bluesy Funky Rock,,
"Saturday, October 25, 2025",Ultraviolet Band ,"The Beverley, Bentilee. ",9pm,"80s, 90s, and 00s. ",,
"Saturday, October 25, 2025",Xclusive,"The Cosey Club, Haslington",,,,
"Sunday, October 26, 2025",Anna Massie,"Artisan Tap, Hartshill, Stoke-On-Trent",19:30,,,
"Sunday, October 26, 2025",Cozyzone With The Endings,"The Cosey Club, Haslington",,,,
"Sunday, October 26, 2025",Craig Harrison ,"Ye Olde Manor Inne, Fenton ",From 3pm,Decades Show 80's through to the Noughties ,,
"Sunday, October 26, 2025",Jane And The Hurricanes,"Alexander's, Rufus Court, Chester",2.00 pm,Electric Blues and R'n'B,,
"Sunday, October 26, 2025",The Endings,"The Cosey Club, Haslington",,,,
"Sunday, October 26, 2025",The Vans (Duo) ,"Little Vic, 62 King Street, NUL, ST5 1HX ",6pm ,,,
"Sunday, October 26, 2025",VANZ Acoustic Duo - David & Andrea,"The Victoria, Little Vic, Newcastle under Lyme",6pm,Bluesy Funky Americana Rock,,
"Tuesday, October 28, 2025",Ash Wall's Halloween Hootenanny,The Glebe Stoke,,,,
"Thursday, October 30, 2025",Havoc Halloween,The Swan Stone,9.30pm,,,
